feature,labeled_present_count,labeled_missing_count,labeled_missing_pct
feat_var_spike_ratio,28,73,72.27722772277228
feat_lai_lag_1,75,26,25.742574257425744
feat_lai_lag_4,75,26,25.742574257425744
feat_lai_lag_2,78,23,22.772277227722775
feat_lai,78,23,22.772277227722775
feat_rain_persist_4w,94,7,6.9306930693069315
feat_rain_lag_4,94,7,6.9306930693069315
feat_rain_lag_2,94,7,6.9306930693069315
feat_rain_lag_1,94,7,6.9306930693069315
feat_rain_lag_8,94,7,6.9306930693069315
feat_temp_lag_1,95,6,5.9405940594059405
feat_temp_anomaly,95,6,5.9405940594059405
feat_temp_lag_2,95,6,5.9405940594059405
feat_temp_lag_4,96,5,4.9504950495049505
feat_temp_lag_8,97,4,3.9603960396039604
feat_acf_change,101,0,0.0
feat_trend_accel,101,0,0.0
feat_recent_normalized,101,0,0.0
feat_week_sin,101,0,0.0
feat_week_cos,101,0,0.0
feat_quarter,101,0,0.0
feat_is_monsoon,101,0,0.0
feat_lat_norm,101,0,0.0
feat_lon_norm,101,0,0.0
feat_cases_lag_1,101,0,0.0
feat_degree_days_above_20,101,0,0.0
feat_cases_lag_2,101,0,0.0
feat_cases_skew_4w,101,0,0.0
feat_cases_trend_4w,101,0,0.0
feat_cases_acf_lag1_4w,101,0,0.0
feat_cases_var_4w,101,0,0.0
feat_cases_growth_rate,101,0,0.0
feat_cases_ma_8w,101,0,0.0
feat_cases_ma_4w,101,0,0.0
feat_cases_lag_8,101,0,0.0
feat_cases_lag_4,101,0,0.0
feat_lat_lon_interact,101,0,0.0
