feature,overall_present_count,overall_missing_count,overall_missing_pct
feat_var_spike_ratio,28,703,96.16963064295486
label_outbreak,101,630,86.18331053351574
feat_recent_normalized,101,630,86.18331053351574
feat_cases_lag_8,125,606,82.9001367989056
feat_rain_lag_8,134,597,81.66894664842681
feat_temp_lag_8,136,595,81.3953488372093
feat_acf_change,205,526,71.9562243502052
feat_lai_lag_4,214,517,70.7250341997264
feat_cases_acf_lag1_4w,244,487,66.62106703146374
feat_cases_lag_4,245,486,66.484268125855
feat_trend_accel,245,486,66.484268125855
feat_rain_lag_4,272,459,62.7906976744186
feat_temp_lag_4,273,458,62.653898768809846
feat_cases_trend_4w,294,437,59.78112175102599
feat_lai_lag_2,319,412,56.36114911080712
feat_cases_skew_4w,358,373,51.02599179206566
feat_cases_lag_2,358,373,51.02599179206566
feat_lai_lag_1,393,338,46.238030095759235
feat_temp_lag_2,403,328,44.87004103967168
feat_rain_lag_2,406,325,44.45964432284541
feat_cases_lag_1,448,283,38.7140902872777
feat_cases_var_4w,448,283,38.7140902872777
feat_cases_growth_rate,448,283,38.7140902872777
feat_temp_lag_1,507,224,30.64295485636115
feat_rain_lag_1,515,216,29.548563611491108
feat_lai,542,189,25.85499316005472
feat_cases_ma_4w,599,132,18.057455540355676
feat_cases_ma_8w,599,132,18.057455540355676
feat_temp_anomaly,684,47,6.429548563611491
feat_rain_persist_4w,706,25,3.4199726402188784
feat_degree_days_above_20,709,22,3.009575923392613
feat_week_sin,731,0,0.0
feat_week_cos,731,0,0.0
feat_quarter,731,0,0.0
feat_is_monsoon,731,0,0.0
feat_lat_norm,731,0,0.0
feat_lon_norm,731,0,0.0
feat_lat_lon_interact,731,0,0.0
